accnum,age,job_admin,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,default,balance,housing,loan,channel_cellular,channel_telephone,channel_unknown,duration,pdays,previous,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown,deposit
2065031284,58,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2143,1,0,0,0,1,261,-1,0,0,0,0,1,0
2051283096,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,29,1,0,0,0,1,151,-1,0,0,0,0,1,0
2029034586,33,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,1,0,0,1,76,-1,0,0,0,0,1,0
2070859436,47,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1506,1,0,0,0,1,92,-1,0,0,0,0,1,0
2098635102,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,198,-1,0,0,0,0,1,0
2006314589,35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,231,1,0,0,0,1,139,-1,0,0,0,0,1,0
2015908624,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,447,1,1,0,0,1,217,-1,0,0,0,0,1,0
2008563971,42,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,1,380,-1,0,0,0,0,1,0
2068052397,58,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,121,1,0,0,0,1,50,-1,0,0,0,0,1,0
2095312780,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,593,1,0,0,0,1,55,-1,0,0,0,0,1,0
2031879650,41,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,270,1,0,0,0,1,222,-1,0,0,0,0,1,0
2072341569,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,390,1,0,0,0,1,137,-1,0,0,0,0,1,0
2020186945,53,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,6,1,0,0,0,1,517,-1,0,0,0,0,1,0
2017864023,58,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,71,1,0,0,0,1,71,-1,0,0,0,0,1,0
2005286719,57,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,162,1,0,0,0,1,174,-1,0,0,0,0,1,0
2029861504,51,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,229,1,0,0,0,1,353,-1,0,0,0,0,1,0
2012078493,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,1,0,0,0,1,98,-1,0,0,0,0,1,0
2053196708,57,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,52,1,0,0,0,1,38,-1,0,0,0,0,1,0
2074061293,60,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,60,1,0,0,0,1,219,-1,0,0,0,0,1,0
2073156894,33,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,54,-1,0,0,0,0,1,0
2075490632,28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,723,1,1,0,0,1,262,-1,0,0,0,0,1,0
2016902358,56,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,779,1,0,0,0,1,164,-1,0,0,0,0,1,0
2045193726,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23,1,1,0,0,1,160,-1,0,0,0,0,1,0
2089205714,25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,50,1,0,0,0,1,342,-1,0,0,0,0,1,0
2078145236,40,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,181,-1,0,0,0,0,1,0
2063071892,44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-372,1,0,0,0,1,172,-1,0,0,0,0,1,0
2046805217,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,255,1,0,0,0,1,296,-1,0,0,0,0,1,0
2054032697,52,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,113,1,1,0,0,1,127,-1,0,0,0,0,1,0
2027453198,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-246,1,0,0,0,1,255,-1,0,0,0,0,1,0
